Category,Algorithm,Instances,Avg_Loss,Std_Loss
C1,ALNS-SA,39,131745.09,113928.76
C1,ALNS-Greedy,39,120050.29,100926.11
C1,TS (tenure=0),39,155124.68,127422.63
C1,TS (tenure=5),39,155125.92,127402.63
C2,ALNS-SA,38,73516.38,69482.86
C2,ALNS-Greedy,38,51905.49,48701.31
C2,TS (tenure=0),38,95692.27,89031.37
C2,TS (tenure=5),38,95717.48,89027.32
R1,ALNS-SA,42,108732.50,93924.66
R1,ALNS-Greedy,42,100126.27,86794.52
R1,TS (tenure=0),42,121524.82,103577.92
R1,TS (tenure=5),42,121536.87,103589.47
R2,ALNS-SA,41,104572.45,99562.62
R2,ALNS-Greedy,41,86697.63,82004.44
R2,TS (tenure=0),41,129238.81,123360.67
R2,TS (tenure=5),41,129279.11,123352.61
RC1,ALNS-SA,38,107716.78,80873.75
RC1,ALNS-Greedy,38,101349.72,74447.57
RC1,TS (tenure=0),38,121108.37,87901.64
RC1,TS (tenure=5),38,121112.25,87937.54
RC2,ALNS-SA,38,129718.43,102035.58
RC2,ALNS-Greedy,38,111082.86,86505.67
RC2,TS (tenure=0),38,153760.16,119954.68
RC2,TS (tenure=5),38,153820.34,119984.14
