Category,Algorithm,Instances,Avg_Loss,Std_Loss
C1,ALNS-SA,39,130780.76,112883.63
C1,ALNS-Greedy,39,119052.72,99991.90
C1,TS (tenure=0),39,154980.11,127293.59
C1,TS (tenure=5),39,155063.00,127337.75
C2,ALNS-SA,38,73424.07,69045.85
C2,ALNS-Greedy,38,51191.87,47622.33
C2,TS (tenure=0),38,95577.43,88874.60
C2,TS (tenure=5),38,95638.97,88897.20
R1,ALNS-SA,42,108025.35,92724.05
R1,ALNS-Greedy,42,99558.04,85638.12
R1,TS (tenure=0),42,121405.65,103445.66
R1,TS (tenure=5),42,121352.15,103438.85
R2,ALNS-SA,41,103576.49,97464.89
R2,ALNS-Greedy,41,84919.01,78562.34
R2,TS (tenure=0),41,129149.83,123257.07
R2,TS (tenure=5),41,129034.60,123184.60
RC1,ALNS-SA,38,107389.82,80154.35
RC1,ALNS-Greedy,38,101287.24,74342.85
RC1,TS (tenure=0),38,121055.35,87870.82
RC1,TS (tenure=5),38,120989.28,87812.65
RC2,ALNS-SA,38,127104.72,98317.40
RC2,ALNS-Greedy,38,108845.26,83811.02
RC2,TS (tenure=0),38,153274.53,119473.10
RC2,TS (tenure=5),38,153206.44,119398.91
