cust_size,algorithm,mean,std,count
100,alns_adaptive_sa,3322.31,1833.0,56
100,alns_greedy_lns,3329.57,1830.46,56
100,ts_tenure0,3468.06,1862.66,56
100,ts_tenure5,3468.43,1863.17,56
400,alns_adaptive_sa,40459.03,14507.19,60
400,alns_greedy_lns,38529.12,15927.99,60
400,ts_tenure0,49910.36,17430.99,60
400,ts_tenure5,49870.16,17423.54,60
800,alns_adaptive_sa,151892.96,31468.98,60
800,alns_greedy_lns,130806.24,32859.48,60
800,ts_tenure0,183021.15,33809.92,60
800,ts_tenure5,183035.75,33753.5,60
1000,alns_adaptive_sa,230964.81,38544.04,60
1000,alns_greedy_lns,198165.36,46728.57,60
1000,ts_tenure0,272079.68,44624.51,60
1000,ts_tenure5,271996.63,44610.18,60
